1,Chicken Curry,NonVeg Curries,100,132
2,Chicken Kurma,NonVeg Curries,100,166
3,Tandoori Chicken Breast,NonVeg Curries,100,700
4,Aloo Ghost Kari (Goat),NonVeg Curries,100,600
5,Rogan Josh,NonVeg Curries,100,500
6,Aloo Baigan Mixed Vegetable,Vegetable Curries,100,103
7,Aloo Beans Mixed Vegetable,Vegetable Curries,100,134
8,Aloo Curry,Vegetable Curries,100,105
9,Baigan ka Bharta,Vegetable Curries,100,70
10,Bhindi (Okra),Vegetable Curries,100,161
11,Chole (Chickpeas),Vegetable Curries,100,74
12,Methi Aloo,Vegetable Curries,100,121
13,Mutter Paneer,Vegetable Curries,100,147
14,Rajma (Kidney beans),Vegetable Curries,100,102
15,Shahi Paneer,Vegetable Curries,100,277
16,Shimla Mirch Aloo,Vegetable Curries,100,93
17,Stuffed Tomato,Vegetable Curries,100,85
18,Vegetable Jalfrazi,Vegetable Curries,100,159
19,Vegetable Kofta Curry,Vegetable Curries,100,150
20,Vegetable Korma,Vegetable Curries,100,88
21,Arhar dal,Dals (Lentils),100,53
22,Chana dal,Dals (Lentils),100,99
23,Dal Makhani,Dals (Lentils),100,117
24,Moong dal,Dals (Lentils),100,211
25,Masoor dal,Dals (Lentils),100,165
26,Urad dal,Dals (Lentils),100,107
27,Sambhar,Dals (Lentils),100,5
28,Boiled Rice,Rice,100,111
29,Pulao,Rice,100,119
30,Khichadi,Rice,100,215
31,Biryani (Mutton),Rice,100,225
32,Biryani (Veg.),Rice,100,200
33,Pulav (Veg.),Rice,100,130
34,Beer,Beverages,100,44
35,Cola,Beverages,100,45
36,Wine,Beverages,100,85
37,Milk (Cow),Dairy Products,100,67
38,Milk (Buffalo),Dairy Products,100,117
39,Yogurt,Dairy Products,100,60
40,Buttermilk,Dairy Products,100,15
41,Paneer (Cow’s milk),Dairy Products,100,265
42,Paneer (Buffalo’s milk),Dairy Products,100,292
43,Lassi,Dairy Products,100,69
44,Samosa,Starters,100,252
45,Poppadums,Starters,100,408
46,Aloo Tikki,Starters,100,101
47,Pakoda Onion,Starters,100,543
48,Pakoda Paneer,Starters,100,300
49,Vada(Medu),Starters,100,170
50,Besan Laddu,Desserts,100,787
51,Coconut Barfi,Desserts,100,523
52,Kaju Rolls,Desserts,100,593
53,Kheer,Desserts,100,230
54,Ice Cream,Desserts,100,170
55,Malai Kulfi,Desserts,100,280
56,Mango Kulfi,Desserts,100,210
57,Rasgulla,Desserts,100,485
58,Til Laddu,Desserts,100,275
59,Beetroot,Roots and Tubers,100,35.6
